Wavenumber	BacVan30_1	BacVan30_2	BacVan30_3	BacVan30_4	BacVan30_5	BacVan30_6	Control30_1	Control30_2	Control30_3	Control30_4	Control30_5	Control30_6
1084	0.679299	0.877954	0.689998	0.40786	0.449969	0.568831	0.842878	0.630873	0.796076	0.474373	0.555506	0.622626
1086	0.680871	0.872121	0.684387	0.408766	0.444656	0.569124	0.836581	0.627986	0.788117	0.471284	0.554144	0.613176
1088	0.677856	0.86818	0.676415	0.406318	0.442467	0.563955	0.829999	0.619894	0.781335	0.465828	0.550367	0.608313
1090	0.668862	0.866666	0.671639	0.39833	0.441404	0.555974	0.817933	0.610593	0.771904	0.457132	0.546293	0.606643
1092	0.658775	0.858438	0.662242	0.390411	0.434717	0.546696	0.804905	0.601067	0.759758	0.447006	0.539706	0.589288
1094	0.657823	0.846695	0.654258	0.385083	0.426189	0.540664	0.796821	0.592556	0.748837	0.44008	0.532344	0.577876
1096	0.660612	0.83853	0.651683	0.38432	0.423192	0.539089	0.789694	0.584381	0.74294	0.436319	0.526207	0.575938
1098	0.658179	0.837652	0.651488	0.382843	0.426931	0.540102	0.783621	0.579002	0.735968	0.430896	0.520013	0.573622
1100	0.653353	0.846626	0.653416	0.380694	0.425958	0.541807	0.774209	0.577353	0.728739	0.424319	0.519812	0.571213
1102	0.655888	0.855265	0.652937	0.380356	0.426435	0.541656	0.764971	0.571942	0.722625	0.422087	0.51693	0.564654
1104	0.661355	0.85477	0.65292	0.380827	0.427476	0.541102	0.754253	0.563205	0.714887	0.424033	0.512018	0.556458
1106	0.664116	0.850615	0.652148	0.382037	0.428925	0.542606	0.746861	0.556256	0.707311	0.420282	0.508575	0.550375
1108	0.65978	0.846481	0.651608	0.379306	0.427868	0.541651	0.736322	0.548818	0.696779	0.412675	0.504602	0.539967
1110	0.657021	0.848996	0.652868	0.376553	0.423923	0.540336	0.724998	0.538428	0.687103	0.406094	0.496069	0.5291
1112	0.656122	0.846904	0.648929	0.370281	0.41726	0.539354	0.714904	0.528961	0.676844	0.397247	0.491718	0.52121
1114	0.649685	0.836818	0.642661	0.365046	0.416025	0.534167	0.70384	0.522726	0.666453	0.389363	0.483108	0.511802
