Wavenumber	60 nm PMMA av. (N=3) - 0.9* H2O correct
2067.3299999999999	0.00110967
2069.2600000000002	0.00110133
2071.1799999999998	0.00110767
2073.1100000000001	0.00112933
2075.04	0.001118
2076.9699999999998	0.00108533
2078.9000000000001	0.00107067
2080.8299999999999	0.00104833
2082.7600000000002	0.000997333
2084.6799999999998	0.000960667
2086.6100000000001	0.000951667
2088.54	0.0009479999999999999
2090.4699999999998	0.000961
2092.4000000000001	0.000985667
2094.3299999999999	0.0009643330000000001
2096.25	0.0008956669999999999
2098.1799999999998	0.000850667
2100.1100000000001	0.000885667
2102.04	0.0009783330000000001
2103.9699999999998	0.00104
2105.9000000000001	0.00102667
2107.8299999999999	0.00100333
2109.75	0.00105
2111.6799999999998	0.00114267
2113.6100000000001	0.00118467
2115.54	0.00113167
2117.4699999999998	0.00102
2119.4000000000001	0.000884
2121.3299999999999	0.000754
2123.25	0.000694333
2125.1799999999998	0.000749667
2127.1100000000001	0.000875667
2129.04	0.000987
2130.9699999999998	0.00100767
2132.9000000000001	0.000931
2134.8200000000002	0.000829667
2136.75	0.000765333
2138.6799999999998	0.0007503329999999999
2140.6100000000001	0.000767667
2142.54	0.000776667
2144.4699999999998	0.000766667
2146.4000000000001	0.000758
2148.3200000000002	0.000762333
2150.25	0.000774333
2152.1799999999998	0.000792
2154.1100000000001	0.000810667
2156.04	0.000845
2157.9699999999998	0.000878667
2159.8899999999999	0.000849667
2161.8200000000002	0.000758333
2163.75	0.000688
2165.6799999999998	0.000682
2167.6100000000001	0.000725
2169.54	0.000801
2171.4699999999998	0.000864
2173.3899999999999	0.000859
2175.3200000000002	0.000808667
2177.25	0.000781
2179.1799999999998	0.000793667
2181.1100000000001	0.00083
2183.04	0.000853667
2184.96	0.000836
2186.8899999999999	0.000792
2188.8200000000002	0.000771333
2190.75	0.000800667
2192.6799999999998	0.000835
2194.6100000000001	0.0008173329999999999
2196.54	0.000769
2198.46	0.000763667
2200.3899999999999	0.000795333
2202.3200000000002	0.000788
2204.25	0.000725333
2206.1799999999998	0.000686333
2208.1100000000001	0.000694667
2210.0300000000002	0.000705
2211.96	0.000717
2213.8899999999999	0.000756667
2215.8200000000002	0.000761
2217.75	0.0006579999999999999
2219.6799999999998	0.000515
2221.6100000000001	0.000442667
2223.5300000000002	0.000438333
2225.46	0.000455667
2227.3899999999999	0.000512667
2229.3200000000002	0.000613333
2231.25	0.000686
2233.1799999999998	0.0007013329999999999
2235.1100000000001	0.000699333
2237.0300000000002	0.000694333
2238.96	0.000680333
2240.8899999999999	0.000694333
2242.8200000000002	0.000756333
2244.75	0.000803333
2246.6799999999998	0.000776667
2248.5999999999999	0.000722333
2250.5300000000002	0.000715
2252.46	0.000739333
2254.3899999999999	0.000749667
2256.3200000000002	0.000760667
2258.25	0.000797333
2260.1799999999998	0.000789333
2262.0999999999999	0.000726
2264.0300000000002	0.000719667
2265.96	0.000797
2267.8899999999999	0.000874667
2269.8200000000002	0.000923
2271.75	0.000941667
2273.6700000000001	0.000918667
2275.5999999999999	0.000884333
2277.5300000000002	0.000859667
2279.46	0.00084
2281.3899999999999	0.000844667
2283.3200000000002	0.000868333
2285.25	0.000893667
2287.1700000000001	0.000949333
2289.0999999999999	0.00103433
2291.0300000000002	0.00109733
2292.96	0.00114033
2294.8899999999999	0.00121933
2296.8200000000002	0.00133367
2298.7399999999998	0.001441
2300.6700000000001	0.001557
2302.5999999999999	0.00171733
2304.5300000000002	0.001926
2306.46	0.002168
2308.3899999999999	0.00235333
2310.3200000000002	0.00239967
2312.2399999999998	0.002413
2314.1700000000001	0.002571
2316.0999999999999	0.00285967
2318.0300000000002	0.00308267
2319.96	0.00311767
2321.8899999999999	0.00314067
2323.8200000000002	0.00339233
2325.7399999999998	0.00367
2327.6700000000001	0.003604
2329.5999999999999	0.00326533
2331.5300000000002	0.00301533
2333.46	0.00302767
2335.3899999999999	0.00317933
2337.3099999999999	0.003222
2339.2399999999998	0.00313533
2341.1700000000001	0.003143
2343.0999999999999	0.003304
2345.0300000000002	0.003391
2346.96	0.00324167
2348.8899999999999	0.003001
2350.8099999999999	0.00282733
2352.7399999999998	0.002663
2354.6700000000001	0.00246567
2356.5999999999999	0.00258867
2358.5300000000002	0.00318067
2360.46	0.00368767
2362.3800000000001	0.003694
2364.3099999999999	0.00335433
2366.2399999999998	0.003168
2368.1700000000001	0.003275
2370.0999999999999	0.00329167
2372.0300000000002	0.00298633
2373.96	0.00253067
2375.8800000000001	0.00215467
2377.8099999999999	0.00192233
2379.7399999999998	0.00169767
2381.6700000000001	0.00132033
2383.5999999999999	0.000878
2385.5300000000002	0.000567667
2387.4499999999998	0.000426
2389.3800000000001	0.000357333
2391.3099999999999	0.000318333
2393.2399999999998	0.000328
2395.1700000000001	0.000387667
2397.0999999999999	0.000462
2399.0300000000002	0.000513
2400.9499999999998	0.000518
2402.8800000000001	0.000481
2404.8099999999999	0.000401667
2406.7399999999998	0.000313
2408.6700000000001	0.000253
2410.5999999999999	0.000206
2412.5300000000002	0.000160667
2414.4499999999998	0.000162667
2416.3800000000001	0.000229667
2418.3099999999999	0.00032
2420.2399999999998	0.000358667
2422.1700000000001	0.000303667
2424.0999999999999	0.000220333
2426.02	0.000208
2427.9499999999998	0.000272333
2429.8800000000001	0.000359667
2431.8099999999999	0.000444667
2433.7399999999998	0.000514
2435.6700000000001	0.000538333
2437.5999999999999	0.000521333
2439.52	0.000489333
2441.4499999999998	0.000442333
2443.3800000000001	0.000380333
2445.3099999999999	0.00032
2447.2399999999998	0.000286
2449.1700000000001	0.000319667
2451.0900000000001	0.000426333
2453.02	0.000512
2454.9499999999998	0.000506667
2456.8800000000001	0.000457667
2458.8099999999999	0.000430667
2460.7399999999998	0.000413667
2462.6700000000001	0.000361
2464.5900000000001	0.000267667
2466.52	0.000190333
2468.4499999999998	0.000176333
2470.3800000000001	0.000220667
2472.3099999999999	0.000286333
2474.2399999999998	0.000345333
2476.1599999999999	0.000375667
2478.0900000000001	0.000349
2480.02	0.000270667
2481.9499999999998	0.000208333
2483.8800000000001	0.000215
2485.8099999999999	0.000272333
2487.7399999999998	0.000331
2489.6599999999999	0.000353
2491.5900000000001	0.000328667
2493.52	0.000294333
2495.4499999999998	0.000312667
2497.3800000000001	0.000386
2499.3099999999999	0.000440667
2501.2399999999998	0.000444667
2503.1599999999999	0.000447333
2505.0900000000001	0.000447667
2507.02	0.000392
2508.9499999999998	0.00031
2510.8800000000001	0.000282
2512.8099999999999	0.000320667
2514.73	0.000367
2516.6599999999999	0.000356
2518.5900000000001	0.000298667
2520.52	0.000250333
2522.4499999999998	0.000206
2524.3800000000001	0.000124667
2526.3099999999999	5.133330000000001e-5
2528.23	6.766670000000001e-5
2530.1599999999999	0.000168
2532.0900000000001	0.000271
2534.02	0.000333667
2535.9499999999998	0.000351
2537.8800000000001	0.000318667
2539.8000000000002	0.000253667
2541.73	0.000191
2543.6599999999999	0.000165333
2545.5900000000001	0.000189
2547.52	0.000256
2549.4499999999998	0.000352667
2551.3800000000001	0.000444667
