1	#2/CaF2_002_SG355	#3/CaF2_002_SG355	#6/CaF2_002_SG355	#7/CaF2_002_SG355	#8/CaF2_002_SG355
964	1,0168	0,9321374285201214	1,367297933329823	0,523244923486583	0,2939705280033892
965	1,0119	0,8434117323941016	1,527307153490689	0,4760343994247027	0,3238145939594355
966	0,936506	1,047790545656311	1,563400787790183	0,5597670127535981	0,3752425541152133
967	0,898466	1,356446130233294	1,555819466273213	0,6365460072145209	0,4058411761370382
968	0,974737	1,531279759068116	1,57714035641525	0,669274384742761	0,4260224525803972
969	0,998923	1,607109523900939	1,552579576608098	0,6306814508650762	0,454777192965297
970	0,969114	1,606685945965246	1,555703898185463	0,6567651293491392	0,4690851220425183
971	1,02417	1,592187080700094	1,508431704038365	0,6661547918847937	0,4876450191642497
972	1,09204	1,57863843668105	1,598130167994488	0,7151906432008717	0,4523332971184413
973	1,01487	1,369322253992693	1,597301055060877	0,713867536190842	0,4056746100969513
974	0,962774	1,187193489636466	1,48450276635321	0,6463159470346787	0,3341559873782897
975	0,921061	0,9910268623512933	1,591931169085652	0,6029498037161588	0,3288401837812492
976	0,821465	1,095602245912102	1,671421118547134	0,6424790546711806	0,3594632265280036
977	0,889688	1,128036925362077	1,730444794770679	0,6867125453430459	0,3502036255189049
978	1,02803	1,19906732724571	1,939321016431627	0,6588672399328201	0,3711823655535733
979	1,15027	1,172787259659602	2,044454493068143	0,6177791390160157	0,189069507201182
980	1,20011	1,273317657413706	2,135883718859299	0,6349268185096697	0,2342803923172319
981	1,21728	1,479709958382634	2,221318661383283	0,6296036139880682	0,4502437613748305
982	1,14296	1,651065131368028	2,26355947580455	0,6091697688496711	0,782319950584262
983	0,904692	1,690793702743469	2,055751172892477	0,5465439340726288	1,082013411225583
984	0,731341	1,800740527126868	1,780931130978775	0,4804431433976629	1,433995044454115
985	0,651735	1,919939172427923	1,627447526957514	0,4422661702053849	1,8650569306303
986	0,458749	2,024762158090406	1,476993982836834	0,4522611395657236	2,141230649311607
987	0,437843	1,98771377783032	1,335854162846565	0,4969258834701982	2,170856243405239
988	0,484259	2,089217514653412	1,418749168010109	0,5783134280891342	2,088443643528328
989	0,608079	2,052641119688617	1,362212925197777	0,6239269397423016	1,904490962393226
990	0,591427	2,102064586204128	1,436033381640094	0,6585028440168335	1,852036006694204
991	0,541565	2,155909194656624	1,465577128377984	0,7079217745799167	1,847189831416014
992	0,523046	2,1673329287869	1,461279004242431	0,7130995387094698	1,848615254976606
993	0,5181	2,177394028752146	1,435510492958856	0,7492202481793	1,851707339567083
994	0,575176	2,175709754693841	1,382623344675463	0,6923058171007961	1,890118757492303
995	0,62085	2,11205791090962	1,340701091823728	0,6300173249362725	2,020962685999179
996	0,608455	2,059908786473233	1,222191608203791	0,6037456248953291	1,993168792886787
997	0,587317	1,968099057387624	1,212724345373493	0,597562842485772	1,938901613250989
998	0,632045	1,911726324887643	1,192193018116588	0,6206250379949921	1,933212101031338
999	0,7168	1,886074274311018	1,198879065914696	0,6540626064395955	2,00564816307749
1.000	0,693009	1,888935121176074	1,287819670787922	0,627305545392375	1,965984403600459
1.001	0,696957	1,869634071433888	1,322823235497025	0,6799162365196442	1,991930107576932
1.002	0,700493	1,854966753284957	1,390051437422712	0,7411365530775953	2,016080195483517
1.003	0,736024	1,91627771817824	1,465532242945886	0,8020981884175215	2,069224649785986
1.004	0,740734	1,961497251547428	1,51005091111274	0,7915436973176568	2,146140791541951
1.005	0,707203	2,025519795076149	1,558000837446482	0,8087758126704256	2,248200279953938
1.006	0,652449	2,001261935808	1,452658778521735	0,7765382235044292	2,18855411076402
1.007	0,596793	2,040363655363788	1,461556675001356	0,7405104497860465	2,129752930345293
1.008	0,637824	2,071102986361763	1,455239277680904	0,7530636555783349	2,01151052858609
1.009	0,627478	2,119636383472038	1,556169930707466	0,8238862761416141	1,953101899098368
1.010	0,60836	2,090916156791944	1,527604742142366	0,7729057210554687	1,813099203603993
1.011	0,647745	2,044483478736173	1,607943638868758	0,7642471226380727	1,681508735727739
1.012	0,65921	1,990808386709711	1,592306341931829	0,7918466649669689	1,545867380479493
1.013	0,696604	2,015736132338416	1,666046315868469	0,8088323342431367	1,475409536655811
1.014	0,65123	1,976264433238357	1,726363325554505	0,7798216567645835	1,500825542046055
1.015	0,691724	2,033688479850406	1,744209905774519	0,7475597675120053	1,600617276408842
1.016	0,685259	2,071549742180263	1,683684574050285	0,751548601388228	1,698455712406616
