Wavenumber	580nm1	580nm2	580nm3	580 nm av. (N=3)	600nm1	600nm2	600nm3	600nm av. (N=3)	600nm2_1	600nm2_2	600nm2_3	600nm control sample av. (N=3)	700nm1	700nm2	700nm3	700 nm av. (N=3)	800nm1	800nm2	800nm3	800 nm av. (N=3)	900nm1	900nm2	900nm3	900 nm av. (N=3)	2000nm1	2000nm2	2000nm3	2000 nm av. (N=3)	60nm1	60nm2	60nm3	60 nm PMMA av. (N=3)	H2O Korrektur	60 nm PMMA av. (N=3) - 0.9* H2O correction spectrum
813,817	-0,003552	-0,005876	-0,005286	-0,00490467	-0,002529	0,00014	0,00464	0,000750333	-0,001262	-0,000721	-0,001459	-0,00114733	-0,006651	-0,005777	-0,004955	-0,00579433	-0,006039	-0,006484	-0,006894	-0,00647233	-0,006759	-0,006483	-0,00641	-0,00655067	0,017692	0,017461	0,017786	0,0176463	0,001115	0,000473	0,001528	0,00103867	-0,000555	0,00159367
815,746	-0,003908	-0,006217	-0,00562	-0,00524833	-0,002703	3e-06	0,004184	0,000494667	-0,00144	-0,001026	-0,001752	-0,001406	-0,00687	-0,006082	-0,005361	-0,00610433	-0,006396	-0,006745	-0,007247	-0,006796	-0,007166	-0,007015	-0,006987	-0,007056	0,01427	0,013848	0,014201	0,0141063	0,000828	0,000455	0,001448	0,000910333	-0,000531	0,00144133
817,674	-0,004027	-0,006112	-0,005593	-0,005244	-0,002645	-8,9e-05	0,003946	0,000404	-0,001498	-0,001181	-0,00171	-0,001463	-0,00689	-0,006034	-0,005501	-0,00614167	-0,006365	-0,006653	-0,007238	-0,006752	-0,007042	-0,007024	-0,00724	-0,007102	0,013494	0,012861	0,01341	0,013255	0,000732	0,000364	0,001306	0,000800667	-0,000353	0,00115367
819,603	-0,003831	-0,005656	-0,005298	-0,00492833	-0,002479	-5e-06	0,004128	0,000548	-0,001375	-0,001119	-0,001398	-0,00129733	-0,00663	-0,005725	-0,00529	-0,00588167	-0,006066	-0,006224	-0,006935	-0,00640833	-0,006518	-0,006457	-0,006992	-0,00665567	0,016202	0,015403	0,016191	0,015932	0,000797	0,000267	0,001171	0,000745	-0,000155	0,0009
821,531	-0,003382	-0,005147	-0,004921	-0,00448333	-0,002244	0,000311	0,004684	0,000917	-0,001026	-0,000767	-0,000866	-0,000886333	-0,006015	-0,005301	-0,004784	-0,00536667	-0,005555	-0,005551	-0,006358	-0,00582133	-0,005735	-0,005488	-0,006125	-0,00578267	0,021799	0,021058	0,021868	0,021575	0,000918	0,000297	0,001094	0,000769667	-2,7e-05	0,000796667
823,46	-0,002882	-0,00479	-0,004526	-0,004066	-0,001859	0,000759	0,005299	0,00139967	-0,000608	-0,000224	-0,000306	-0,000379333	-0,005251	-0,004811	-0,004123	-0,00472833	-0,004862	-0,004808	-0,005545	-0,00507167	-0,00486	-0,004467	-0,004889	-0,00473867	0,028485	0,027913	0,028585	0,0283277	0,001079	0,000512	0,001021	0,000870667	-5,5e-05	0,000925667
825,388	-0,002618	-0,004642	-0,004267	-0,00384233	-0,001452	0,001108	0,005618	0,001758	-0,000398	0,000167	-7,2e-05	-0,000101	-0,004796	-0,004417	-0,003601	-0,00427133	-0,004278	-0,0043	-0,004842	-0,00447333	-0,004194	-0,003801	-0,003942	-0,003979	0,033437	0,032927	0,033595	0,0333197	0,001274	0,000756	0,000976	0,001002	-0,000253	0,001255
827,317	-0,002652	-0,004671	-0,004287	-0,00387	-0,00126	0,001205	0,00562	0,001855	-0,000421	0,000213	-0,000171	-0,000126333	-0,004801	-0,004284	-0,003439	-0,00417467	-0,004114	-0,004201	-0,004611	-0,00430867	-0,003996	-0,003686	-0,003768	-0,00381667	0,034382	0,033887	0,034692	0,0343203	0,001495	0,000881	0,001098	0,001158	-0,000422	0,00158
829,245	-0,002764	-0,004715	-0,004428	-0,003969	-0,00119	0,001157	0,005568	0,001845	-0,000395	0,000147	-0,000247	-0,000165	-0,004951	-0,00428	-0,003475	-0,00423533	-0,004252	-0,004329	-0,004713	-0,00443133	-0,004156	-0,00387	-0,004122	-0,00404933	0,032148	0,031762	0,03257	0,03216	0,001768	0,000966	0,001416	0,00138333	-0,000337	0,00172033
831,174	-0,002743	-0,004621	-0,004424	-0,00392933	-0,000981	0,00116	0,005641	0,00194	-0,000153	0,000252	-0,000137	-1,26667e-05	-0,004868	-0,00414	-0,003393	-0,00413367	-0,004236	-0,004361	-0,004662	-0,00441967	-0,004168	-0,003826	-0,004237	-0,004077	0,030907	0,030743	0,031334	0,0309947	0,001997	0,001068	0,00171	0,00159167	-9,6e-05	0,00168767
833,102	-0,002432	-0,004299	-0,004112	-0,00361433	-0,00054	0,001381	0,005931	0,00225733	0,000245	0,000581	0,000141	0,000322333	-0,004323	-0,003659	-0,00299	-0,00365733	-0,003625	-0,003959	-0,004011	-0,003865	-0,003454	-0,003068	-0,003487	-0,00333633	0,0353	0,03535	0,035702	0,0354507	0,002022	0,001125	0,001767	0,001638	4,5e-05	0,001593
835,031	-0,001721	-0,003579	-0,00338	-0,00289333	0,000159	0,00204	0,006568	0,00292233	0,000854	0,00119	0,000715	0,000919667	-0,003241	-0,002652	-0,002119	-0,00267067	-0,002236	-0,002826	-0,002589	-0,00255033	-0,001738	-0,001372	-0,001756	-0,001622	0,046858	0,046942	0,047246	0,0470153	0,001888	0,001167	0,001694	0,001583	7e-05	0,001513
836,959	-0,000779	-0,002508	-0,002312	-0,00186633	0,001044	0,003074	0,007517	0,00387833	0,001749	0,00211	0,001587	0,00181533	-0,001872	-0,001242	-0,00088	-0,00133133	-0,000422	-0,001107	-0,000737	-0,000755333	0,000621	0,000897	0,000504	0,000674	0,062369	0,062308	0,062808	0,062495	0,001784	0,00126	0,00172	0,001588	8,7e-05	0,001501
838,888	-5e-06	-0,001605	-0,001359	-0,000989667	0,001774	0,00399	0,008387	0,004717	0,002643	0,003066	0,002383	0,00269733	-0,000743	-8e-06	0,000252	-0,000166333	0,001059	0,000523	0,000802	0,000794667	0,002725	0,00281	0,002449	0,00266133	0,075564	0,07539	0,076154	0,0757027	0,0018	0,001374	0,001878	0,001684	0,000103	0,001581
840,816	0,000401	-0,001252	-0,000963	-0,000604667	0,002044	0,004424	0,008775	0,005081	0,003145	0,003642	0,002766	0,00318433	-0,000208	0,000588	0,000895	0,000425	0,001738	0,001453	0,001492	0,001561	0,003777	0,00368	0,003404	0,00362033	0,081628	0,08153	0,082417	0,0818583	0,001902	0,001462	0,002049	0,00180433	0,000108	0,00169633
842,745	0,000483	-0,00132	-0,001088	-0,000641667	0,001899	0,004411	0,008659	0,00498967	0,003158	0,003656	0,002745	0,00318633	-0,000253	0,000555	0,001021	0,000441	0,001705	0,001506	0,001298	0,001503	0,003587	0,003519	0,003298	0,003468	0,080127	0,080151	0,081064	0,0804473	0,002015	0,001479	0,002147	0,00188033	0,000138	0,00174233
