wavenumber (cm-1)	CaF2 Substrat	Pery1	Pery2	Pery3	Pery3-1	Pery4	Pery5	TPCA1	TPCA2
3820.38665	0.68281	0.66059	0.53837	0.00219	0.6228399999999999	0.5571700000000001	0.62566	0.67093	0.67528
3819.42239	0.68321	0.6603599999999999	0.53831	0.00095	0.62249	0.55766	0.62651	0.67099	0.67545
3818.45814	0.6829	0.65957	0.5389699999999999	0.00086	0.62086	0.5594	0.62686	0.6698	0.6747300000000001
3817.49388	0.6823	0.65892	0.53956	0.00095	0.6192800000000001	0.56088	0.6269	0.66847	0.67404
3816.52962	0.68163	0.6587499999999999	0.53923	0.00065	0.61873	0.56072	0.62658	0.66791	0.67375
3815.56537	0.68254	0.65987	0.53784	0.00081	0.62073	0.5585599999999999	0.62682	0.66998	0.67502
3814.60111	0.6836100000000001	0.66025	0.53801	0.00084	0.62138	0.55858	0.62741	0.6711	0.67562
3813.63685	0.68344	0.65945	0.53876	0.00077	0.62029	0.5595	0.6273300000000001	0.67033	0.67493
3812.67259	0.68306	0.65866	0.53912	0.00083	0.61957	0.55994	0.62714	0.66965	0.67431
3811.70834	0.68284	0.65832	0.53918	0.0008	0.61948	0.56024	0.6271600000000001	0.6694	0.67405
3810.74408	0.68272	0.65833	0.53912	0.00071	0.61951	0.56044	0.6271600000000001	0.66923	0.67405
3809.77982	0.68274	0.65856	0.53927	0.00073	0.6194	0.5606	0.62721	0.6692	0.67418
3808.81557	0.68258	0.65868	0.53987	0.00044	0.61893	0.56123	0.62737	0.66912	0.6739000000000001
3807.85131	0.68196	0.6586	0.5401899999999999	0.00072	0.61833	0.5616100000000001	0.6273	0.66882	0.67313
3806.88705	0.68189	0.6591	0.53916	0.00098	0.61937	0.55996	0.62718	0.6694099999999999	0.6735
3805.92279	0.6831	0.65983	0.5386	0.00103	0.62116	0.55881	0.62768	0.67049	0.67516
3804.95854	0.68338	0.65937	0.5394	0.0006400000000000001	0.62068	0.55983	0.62797	0.66999	0.67514
3803.99428	0.68302	0.65865	0.5402400000000001	0.00042	0.6195000000000001	0.5609499999999999	0.62807	0.66898	0.67418
3803.03002	0.68264	0.65848	0.54078	0.0004	0.6188399999999999	0.56169	0.62822	0.66822	0.67323
3802.06577	0.68203	0.65901	0.54038	0.00151	0.61937	0.56126	0.62795	0.66804	0.67303
3801.10151	0.68233	0.6603	0.53881	0.0023	0.62179	0.5587299999999999	0.62757	0.67009	0.67509
3800.13725	0.6835599999999999	0.66066	0.53874	0.00146	0.62247	0.55844	0.62803	0.67155	0.6762899999999999
3799.17299	0.68379	0.66	0.53949	0.00103	0.62118	0.55994	0.6283	0.6708	0.67552
3798.20874	0.68364	0.6593599999999999	0.54013	0.00092	0.61996	0.56112	0.62819	0.66966	0.6744599999999999
3797.24448	0.68357	0.659	0.54043	0.00071	0.61971	0.56125	0.62778	0.6691	0.6739000000000001
3796.28022	0.6835599999999999	0.65893	0.54003	0.00083	0.62059	0.56032	0.62745	0.6696800000000001	0.67441
3795.31597	0.68346	0.65899	0.53947	0.00094	0.62101	0.5600000000000001	0.62762	0.67036	0.67497
3794.35171	0.68321	0.6589	0.53925	0.00081	0.6204	0.56053	0.6277199999999999	0.6702	0.6747300000000001
3793.38745	0.68307	0.65876	0.53915	0.0007	0.6198399999999999	0.56086	0.62766	0.66992	0.6745100000000001
3792.42319	0.68326	0.65884	0.53931	0.00087	0.6199	0.56097	0.62782	0.67001	0.6746799999999999
3791.45894	0.68336	0.65907	0.53959	0.00074	0.62017	0.56107	0.62813	0.67012	0.67489
